file,conversation,sample_id,rq,group,item,metric,watermark,no_watermark,signed_metadata_only,random_replace
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.7,bit_recovery_rate,0.5853658536585366,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.7,bits_recovered,24.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.7,bits_total,41.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.7,kept_leaves,506.0,,476.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.7,root_matches,1.0,,1.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.9,anchor_signature_valid,1.0,,1.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.9,bit_recovery_rate,0.7560975609756098,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.9,bits_recovered,31.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.9,bits_total,41.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.9,kept_leaves,651.0,,612.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.9,root_matches,1.0,,1.0,
conv1.json,1,conv-30,RQ3 Verification,r3,,anchor_signature_valid,1.0,,1.0,
conv1.json,1,conv-30,RQ3 Verification,r3,,bit_recovery_rate,1.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r3,,bits_recovered,41.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r3,,bits_total,41.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r3,,root_matches,1.0,,1.0,
conv1.json,1,conv-30,RQ3 Verification,r3_carrier_breakdown,carrier=link_target,bit_recovery_rate,1.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r3_carrier_breakdown,carrier=link_target,bits_recovered,11,,0,
conv1.json,1,conv-30,RQ3 Verification,r3_carrier_breakdown,carrier=link_target,bits_total,11,,0,
conv1.json,1,conv-30,RQ3 Verification,r3_carrier_breakdown,carrier=link_target,leaves,232,,199,
conv1.json,1,conv-30,RQ3 Verification,r3_carrier_breakdown,carrier=semantic_realization,bit_recovery_rate,1.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r3_carrier_breakdown,carrier=semantic_realization,bits_recovered,21,,0,
conv1.json,1,conv-30,RQ3 Verification,r3_carrier_breakdown,carrier=semantic_realization,bits_total,21,,0,
conv1.json,1,conv-30,RQ3 Verification,r3_carrier_breakdown,carrier=semantic_realization,leaves,363,,365,
conv1.json,1,conv-30,RQ3 Verification,r3_carrier_breakdown,carrier=update_target,bit_recovery_rate,1.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r3_carrier_breakdown,carrier=update_target,bits_recovered,9,,0,
conv1.json,1,conv-30,RQ3 Verification,r3_carrier_breakdown,carrier=update_target,bits_total,9,,0,
conv1.json,1,conv-30,RQ3 Verification,r3_carrier_breakdown,carrier=update_target,leaves,128,,116,
conv1.json,1,conv-30,RQ3 Verification,r3_wrong_key,,anchor_signature_valid,0.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r3_wrong_key,,bit_recovery_rate,0.2926829268292683,,0.0,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=compaction;strength=0.1,bit_recovery_post,0.9024390243902439,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=compaction;strength=0.1,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=compaction;strength=0.1,leaves_affected,72,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=compaction;strength=0.1,name,compaction,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=compaction;strength=0.1,strength,0.1,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=compaction;strength=0.1,tamper_detection_rate,0.0995850622406639,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=compaction;strength=0.3,bit_recovery_post,0.6829268292682927,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=compaction;strength=0.3,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=compaction;strength=0.3,leaves_affected,217,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=compaction;strength=0.3,name,compaction,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=compaction;strength=0.3,strength,0.3,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=compaction;strength=0.3,tamper_detection_rate,0.30013831258644535,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=compaction;strength=0.5,bit_recovery_post,0.4634146341463415,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=compaction;strength=0.5,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=compaction;strength=0.5,leaves_affected,362,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=compaction;strength=0.5,name,compaction,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=compaction;strength=0.5,strength,0.5,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=compaction;strength=0.5,tamper_detection_rate,0.5006915629322268,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=dedup;strength=0.1,bit_recovery_post,0.0,,,
